3-stage,,,,,,,,,,,,
"p0 = 0.2,    p1 = 0.4,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"nSwarm = 300, maxIter = 300,psoType = ""basic""",,,,,,,,,,,,
,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Total CPU Time,Average Result
Run time,10,10.39,7.62,9.15,8.72,8.64,7.75,8.36,7.89,7.86,267.73s,25.75
EN(P0),25.69689,25.69689,25.88182,25.69689,25.69689,25.69689,26.07135,25.91914,25.76777,25.69689,,
,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,,
Run time,10.83,9.16,9.88,8.76,9.8,8.55,7.95,9.64,9.37,8.04,,
EN(P0),25.69689,25.87392,25.69689,25.88182,25.69689,25.69689,25.69689,25.69689,25.76777,25.76777,,
,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,,
Run time,9.06,8.52,8.62,9.56,9.47,8.57,8.96,9.23,8.66,8.72,,
EN(P0),25.76777,25.82039,25.69689,25.69689,25.69689,25.79034,25.69689,25.69689,25.76777,25.69689,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"p0 = 0.4,    p1 = 0.6,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"First : nSwarm = 100, maxIter = 100,psoType = ""quantum""        Second : nSwarm = 200, maxIter = 200,psoType = ""basic""",,,,,,,,,,,,
,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Total CPU Time,Average Result
Run time,3.3,8.5,16.71,18.62,16.21,11.22,7,16.78,15.02,6.64,381.51s,29.99260767
EN(P0),2,31.34506,30.82218,30.82472,30.82472,30.82218,31.26638,30.82218,30.82472,31.64886,,
,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,,
Run time,5.99,12.75,19.4,12.19,13.04,6.57,13.5,16.44,12.84,13.49,,
EN(P0),31.22958,31.0114,30.82472,31.0114,31.09568,30.77442,30.82218,30.8554,30.8554,31.00179,,
,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,,
Run time,15.59,12.86,9.18,16.79,15.07,17.92,13.62,12.74,13.47,8.06,,
EN(P0),31.0114,31.0114,30.89225,30.82472,30.82218,30.82472,30.82218,30.82218,31.0114,31.05283,,
